Name,formula,Si,Mg,Fe,Ca,Al,Na
Anorthite,CaAl2Si2O8,2,0,0,1,2,0
Albite,NaAlSi3O8,3,0,0,0,1,1
Spinel,Mg4Al8O16,0,4,0,0,8,0
Hercynite,Fe4Al8O16,0,0,4,0,8,0
Enstatite,Mg2Si2O6,2,2,0,0,0,0
Ferrosilite,Fe2Si2O6,2,0,2,0,0,0
Mg_Tschermaks,MgAl2SiO6,1,1,0,0,2,0
Ortho_Diopside,CaMgSi2O6,2,1,0,1,0,0
HP_Clinoenstatite,Mg2Si2O6,2,2,0,0,0,0
HP_Clinoferrosilite,Fe2Si2O6,2,0,2,0,0,0
Diopside,CaMgSi2O6,2,1,0,1,0,0
Hedenbergite,CaFeSi2O6,2,0,1,1,0,0
Clinoenstatite,Mg2Si2O6,2,2,0,0,0,0
Ca_Tschermaks,CaAl2SiO6,1,0,0,1,2,0
Jadeite,NaAlSi2O6,2,0,0,0,1,1
Pyrope,Mg3Al2Si3O12,3,3,0,0,2,0
Almandine,Fe3Al2Si3O12,3,0,3,0,2,0
Grossular,Ca3Al2Si3O12,3,0,0,3,2,0
Mg_Majorite,Mg4Si4O12,4,4,0,0,0,0
Jd_Majorite,Na2Al2Si4O12,4,0,0,0,2,2
Ca_Perovskite,CaSiO3,1,0,0,1,0,0
Forsterite,Mg2SiO4,1,2,0,0,0,0
Fayalite,Fe2SiO4,1,0,2,0,0,0
Mg_Wadsleyite,Mg2SiO4,1,2,0,0,0,0
Fe_Wadsleyite,Fe2SiO4,1,0,2,0,0,0
Mg_Ringwoodite,Mg2SiO4,1,2,0,0,0,0
Fe_Ringwoodite,Fe2SiO4,1,0,2,0,0,0
Mg_Akimotoite,MgSiO3,1,1,0,0,0,0
Fe_Akimotoite,FeSiO3,1,0,1,0,0,0
Corundum,AlAlO3,0,0,0,0,2,0
Mg_Perovskite,MgSiO3,1,1,0,0,0,0
Fe_Perovskite,FeSiO3,1,0,1,0,0,0
Al_perovskite,AlAlO3,0,0,0,0,2,0
Mg_Post_Perovskite,MgSiO3,1,1,0,0,0,0
Fe_Post_Perovskite,FeSiO3,1,0,1,0,0,0
Al_Post_Perovskite,AlAlO3,0,0,0,0,2,0
Mg_Ca_Ferrite,MgAl2O4,0,1,0,0,2,0
Fe_Ca_Ferrite,FeAl2O4,0,0,1,0,2,0
Na_Ca_Ferrite,NaAlSiO4,1,0,0,0,1,1
Periclase,MgO,0,1,0,0,0,0
Wuestite,FeO,0,0,1,0,0,0
Quartz,SiO2,1,0,0,0,0,0
Coesite,SiO2,1,0,0,0,0,0
Stishovite,SiO2,1,0,0,0,0,0
Anorthite,CaAl2Si2O8,2,0,0,1,2,0
Kyanite,Al2SiO5,1,0,0,0,2,0
Nepheline,NaAlSiO4,1,0,0,0,1,1
